,Order Qty,Replenishment LT,LT Offset,Manufacturing LT,Action,SupplyType,Status,Rule,Multi-sourced,Special Demand,Flagged,Item,Description,Part Status,Shortage Date,Part Type Code,Product Family,Material Type,Max Order Qty,Min Order Qty,Multiple order Qty,Container Qty,Phase-in,Phase-out,UOM,Report Field 1,Planner Code,Supplier Code,Order Value,Original Order Qty,On-hand Qty,Excess Qty,Shortage Qty,Planned Receipt,Material,Capacity,RTO Priority,Resource ID,Work Center Code,WC Supplier Code,Ordering Group,Production Version,Supply type,Location,Reference,Settings
229,Less Than Or Equal 3,Equals 1 OR Greater Than 5,"In Range (1,10)",Equals same value as in table,"('RELEASED', 'TODO', 'REJECTED')",Distributed,"('YELLOWFLOW', 'BLUEFLOW', 'REDVOLUME')","('CYCLIC', 'FEP', 'TWOBIN')",false,false,false,Starts With 'Z',Starts With 'Omala' OR Starts With 'Corena',"('GROUPBY', '02', '05')",Equals '2022-02-28' OR Equals '2022-03-02',"('FP3', 'FPE', 'FPF')","('YBLU', 'YPAC', 'YPCK')","('GROUPBY', 'E', 'F')",Equals 1 OR Equals 5,Not Blank,Greater Than Or Equal 3,Less Than Or Equal 3,Blank,Greater Than 2000-01-01,"('GROUPBY', 'KG', 'LB')",Starts With 'Z',Greater Than Or Equal 1 AND Less Than Or Equal 10,"('R037', 'P083', 'I480')",Less Than Or Equal 3,"In Range (1,10)",Less Than Or Equal 3,Not Blank,Greater Than 3,Less Than 9999-12-31,"('NA', 'Yes', 'No')",Partially Available,Equals ABCDEF,Starts With 'Z',Contains 'Z',Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Contains 'Z',Distributed,"('I477', 'P082', 'T804')",Starts With 'Z',Starts With 'Z'
230,Greater Than 3,Not Equals 3,Equals 1 OR Equals 5,Less Than 3,"('GROUPBY', 'RELEASED', 'REJECTED')","('GROUPBY', 'Manufactured', 'Purchased')","('GROUPBY', 'YELLOWFLOW', 'YELLOWVOLUME')","('GROUPBY', 'FEP', 'TWOBIN')",true,GROUPBY,true,Contains 'a' OR Contains 'A',Starts With 'Omala',"('GROUPBY', '02', '05')",Less Than 999999-12-31,"('BST', 'BTV', 'IBC')",YINT,F,Not Blank,Blank,Less Than Or Equal 3,Equals 5,Less Than 9999-12-31,,"('KG', 'LB', 'UG6')",,Equals 1,"('GROUPBY', 'I480', 'I353')",Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Blank,Equals 1 OR Greater Than 5,Equals 1 OR Equals 5,"In Range (1,10)",,"('GROUPBY', 'NA', 'No')",GROUPBY,Equals 6,Contains 'a' OR Contains 'A',Starts With 'Z',Contains 'a' AND Contains 'A',,,Distributed,"('GROUPBY', 'F477', 'C604')",Starts With 'SHELL',Contains 'a' OR Contains 'A'
231,Equals 1 OR Equals 5,Less Than 9223372036854775807,"In Range (1,10)",Blank,"('REQUIRESATTENTION', 'RELEASED', 'REJECTED')",Manufactured,"('REDFLOW', 'GREENFEP', 'BLUEVOLUME')","('FLOW', 'CYCLIC', 'RTO')",,GROUPBY,true,Ends With '9',Starts With 'Refrig' OR Contains 'Gadus',GROUPBY,,"('FPE', 'GPF', 'PRE')",,GROUPBY,Less Than Or Equal 3,Equals 1 OR Equals 5,Equals 6,Not Blank,Greater Than 2000-01-01 AND Less Than 9999-12-31,Blank,"('KAR', 'LB', 'SKU')",Starts With 'Z',Equals 1 OR Greater Than 5,I480,Equals 6,Equals 6,Not Equals 3,Equals 6,Greater Than Or Equal 1 AND Less Than Or Equal 10,,No,GROUPBY,Greater Than 3,Contains 'a' OR Contains 'A',Starts With 'Z',Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',"('GROUPBY', 'Manufactured', 'Distributed')","('F477', 'I486', 'T804')",Contains 'a' AND Contains 'A',
232,"In Range (1,10)",Not Blank,Less Than 9223372036854775807,Equals +1,"('GROUPBY', 'POSTPONED', 'TODO')",Purchased,"('GROUPBY', 'GREENFLOW', 'YELLOWVOLUME')","('FLOW', 'CYCLIC', 'LOW')",,GROUPBY,,Starts With '5' AND Ends With '1',Contains 'a' AND Contains 'A',05,Equals '2022-02-28',"('FBF', 'FPE', 'MTO')",YPCK,GROUPBY,Equals 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1 OR Greater Than 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Blank,Less Than 9999-12-31,"('GROUPBY', 'KAR', 'UG6')",,Equals 1 OR Equals 5,"('GROUPBY', 'R037', 'I480')",,Equals 6,Greater Than Or Equal 1 AND Less Than Or Equal 10,Blank,Equals 1 OR Greater Than 5,Not Blank,NA,"('GROUPBY', 'Not Available', 'Partially Available')",Greater Than Or Equal 1 AND Less Than Or Equal 10,Starts With 'Z',Contains 'a' AND Contains 'A',Starts With 'Z',Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',,"('I389', 'I486', 'C604')",Starts With 'SHELL' AND Ends With '3',Starts With 'Z'
233,Equals 1 OR Equals 5,Less Than 9223372036854775807,Less Than 9223372036854775807,Greater Than Or Equal 3,"('REQUIRESAPPROVAL', 'RELEASED', 'TODO')","('Manufactured', 'Distributed', 'Purchased')","('YELLOWFLOW', 'GREENFEP', 'REDVOLUME')","('GROUPBY', 'TWOBIN', 'MANUAL')",false,GROUPBY,true,Ends With '9',Contains 'a' OR Contains 'A',GROUPBY,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('APZ', 'FP3', 'FPF')","('YBSE', 'YNOP', 'YRAW')",,,Equals 1 OR Greater Than 5,Equals 1 OR Equals 5,Equals 1 OR Greater Than 5,Blank,Greater Than 2000-01-01,"('KAR', 'L', 'LB')",Contains 'a' AND Contains 'A',Not Blank,"('GROUPBY', 'R037', 'P083')",Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 5,Equals 5,Not Blank,Not Equals 3,Not Blank,"('GROUPBY', 'Yes', 'No')",N/A,Equals 1,,Starts With 'Z',Contains 'a' OR Contains 'A',Ends With 'Z',,Purchased,"('I411', 'U022', 'I009')",Contains 'a' OR Contains 'A',Contains 'Z'
234,Equals 1,Less Than 999999999999999999999999999999999999999,Equals -1,Equals -1,"('REQUIRESAPPROVAL', 'RELEASED', 'TODO')","('GROUPBY', 'Distributed', 'Purchased')","('YELLOWVOLUME', 'GREENVOLUME', 'BLUEVOLUME')","('GROUPBY', 'FLOW', 'LOW')",,false,,Contains 'a' AND Contains 'A',Contains 'Omala',"('GROUPBY', '02', '05')",Greater Than 2000-01-01,"('BTV', 'D1P', 'LBL')","('GROUPBY', 'YBLU', 'YPCK')","('GROUPBY', 'E', 'F')",Equals ABCDEF,Equals 1 OR Equals 5,Equals 1 OR Equals 5,Less Than Or Equal 3,Less Than 999999-12-31,Not Blank,"('GROUPBY', 'KAR', 'UG6')",Ends With 'Z',,"('GROUPBY', 'T124', 'P083')",Less Than Or Equal 3,Equals 1 OR Greater Than 5,,Greater Than Or Equal 3,Equals ABCDEF,Greater Than 2000-01-01 AND Less Than 9999-12-31,GROUPBY,Available,Less Than 3,Ends With 'Z',Ends With 'Z',Contains 'a' AND Contains 'A',Ends With 'Z',Ends With 'Z',"('Purchased', 'Manufactured', 'Distributed')","('GROUPBY', 'I335', 'G081')",,Contains 'Z'
235,Not Equals 3,,,Not Blank,"('GROUPBY', 'REQUIRESATTENTION', 'RELEASED')","('Manufactured', 'Distributed', 'Purchased')","('GREENFLOW', 'REDVOLUME', 'BLUEVOLUME')","('GROUPBY', 'FLOW', 'TWOBIN')",GROUPBY,true,,Ends With 'Z',Ends With 'Z',02,Equals '2022-02-28' OR Equals '2022-03-02',"('D1P', 'GPF', 'NOF')","('YBLU', 'YBSE', 'YRAW')",,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than Or Equal 3,Blank,Equals 5,Not Blank,Blank,"('EA', 'LB', 'SKU')",Starts With 'Z',Not Equals 3,I353,Less Than Or Equal 3,,Equals 1,Equals 1 OR Greater Than 5,Equals 1 OR Greater Than 5,Blank,NA,"('Available', 'N/A', 'Partially Available')",Equals 1 OR Equals 5,Contains 'a' OR Contains 'A',Ends With 'Z',Starts With 'Z',Starts With 'Z',,"('GROUPBY', 'Purchased', 'Manufactured')","('I340', 'P082', 'G081')",Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A'
236,Equals 6,Equals same value as in table,Equals 1 OR Greater Than 5,Equals 1,"('REQUIRESATTENTION', 'POSTPONED', 'TODO')","('Manufactured', 'Distributed', 'Purchased')","('GROUPBY', 'YELLOWFLOW', 'RTO')","('LOW', 'FEP', 'TWOBIN')",GROUPBY,GROUPBY,GROUPBY,Ends With '9',,02,,"('D1B', 'D1P', 'NOF')","('YINT', 'YNOP', 'YRAW')",F,Less Than Or Equal 3,Equals ABCDEF,Equals ABCDEF,Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than 9999-12-31,Not Blank,"('EA', 'SKU', 'UG6')",Contains 'Z',Greater Than 3,"('T124', 'I480', 'I353')","In Range (1,10)",Blank,,Equals 6,Less Than 3,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('GROUPBY', 'Yes', 'No')","('GROUPBY', 'Not Available', 'Partially Available')",Greater Than 3,Contains 'a' AND Contains 'A',Ends With 'Z',,,Starts With 'Z',"('GROUPBY', 'Manufactured', 'Distributed')","('I389', 'I324', 'C311')",Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A'
237,Greater Than 3,Less Than 9223372036854775807,,Less Than 9223372036854775807,"('REQUIRESATTENTION', 'TODO', 'REJECTED')","('GROUPBY', 'Manufactured', 'Distributed')","('YELLOWFLOW', 'YELLOWVOLUME', 'BLUEVOLUME')","('GROUPBY', 'FEP', 'TWOBIN')",GROUPBY,,GROUPBY,Contains 'Z',Starts With 'Omala' AND Contains 'S4',"('GROUPBY', '02', '05')",Less Than 9999-12-31,"('FP1', 'FP3', 'FPE')","('YBLU', 'YPCK', 'YRAW')",F,Less Than Or Equal 3,Equals 1 OR Greater Than 5,Less Than Or Equal 3,Less Than Or Equal 3,,Greater Than 2000-01-01,"('EA', 'L', 'UG6')",Starts With 'Z',Less Than 3,"('GROUPBY', 'R037', 'P083')",Equals 6,Less Than Or Equal 3,Greater Than Or Equal 3,,Equals 1,Less Than 9999-12-31,"('GROUPBY', 'Yes', 'No')",,Equals ABCDEF,,Contains 'a' AND Contains 'A',Ends With 'Z',Starts With 'Z',Starts With 'Z',Distributed,"('I335', 'I324', 'R175')",Starts With 'SHELL' AND Ends With '3',Contains 'Z'
238,Equals 1,Not Equals 3,Not Blank,Equals 1 OR Greater Than 5,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'REQUIRESAPPROVAL')","('GROUPBY', 'Distributed', 'Purchased')","('REDFLOW', 'BLUEFLOW', 'YELLOWVOLUME')","('GROUPBY', 'RTO', 'MANUAL')",false,false,GROUPBY,Contains '4' AND Contains '2',Starts With 'Refrig' OR Contains 'Gadus',05,Equals '2022-02-28' OR Blank,"('ADP', 'BTV', 'PWD')","('YPAC', 'YPCK', 'YRAW')",GROUPBY,Equals ABCDEF,Equals 1 OR Greater Than 5,,Equals 1,Not Blank,,"('GROUPBY', 'L', 'UG6')",Starts With 'Z',Equals -1,"('T124', 'I480', 'I353')",Less Than Or Equal 3,Blank,Blank,Equals 1,Blank,Less Than 999999-12-31,"('GROUPBY', 'NA', 'No')","('GROUPBY', 'N/A', 'Partially Available')",Less Than 3,Contains 'a' OR Contains 'A',Starts With 'Z',Contains 'a' OR Contains 'A',,Contains 'Z',Purchased,"('I335', 'I349', 'P082')",Ends With 'Z',Contains 'a' AND Contains 'A'
239,Not Equals 3,Not Equals 3,Greater Than Or Equal 3,Greater Than 3,"('GROUPBY', 'REQUIRESRELEASE', 'REQUIRESAPPROVAL')",Purchased,"('GROUPBY', 'YELLOWFLOW', 'REDVOLUME')",GROUPBY,true,false,false,Contains 'a' OR Contains 'A',Starts With 'Omala' AND Contains 'S4',02,Blank,"('D1P', 'FP1', 'FPE')","('YINT', 'YPAC', 'YRAW')",,Equals 1 OR Equals 5,Equals 1,Not Blank,Not Equals 3,Blank,Greater Than 2000-01-01,"('EA', 'TO', 'UG6')",Contains 'a' OR Contains 'A',Equals same value as in table,"('T124', 'R037', 'P083')",Equals ABCDEF,Less Than Or Equal 3,Greater Than Or Equal 3,Equals 5,Equals ABCDEF,Not Blank,NA,Available,Not Blank,Starts With 'Z',,,Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',"('Purchased', 'Manufactured', 'Distributed')","('R175', 'U022', 'G081')",Starts With 'SHELL',Contains 'a' OR Contains 'A'
240,Equals ABCDEF,Equals same value as in table,Greater Than 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,"('POSTPONED', 'TODO', 'REJECTED')",GROUPBY,"('REDFLOW', 'RTO', 'GREENVOLUME')","('GROUPBY', 'RTO', 'TWOBIN')",,false,false,Starts With '5500',Contains 'a' AND Contains 'A',02,Blank,"('FBE', 'PKG', 'PRL')","('GROUPBY', 'YBSE', 'YINT')",E,Equals 1 OR Equals 5,Less Than Or Equal 3,Equals 1 OR Equals 5,Greater Than Or Equal 3,,Less Than 9999-12-31,"('EA', 'L', 'TO')",Contains 'a' AND Contains 'A',Equals 1 OR Greater Than 5,"('T124', 'I480', 'I353')",Greater Than 3,"In Range (1,10)",Equals 1 OR Equals 5,Equals 1 OR Equals 5,,Blank,"('GROUPBY', 'Yes', 'No')","('GROUPBY', 'N/A', 'Not Available')",Greater Than Or Equal 1 AND Less Than Or Equal 10,Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',,Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',"('Purchased', 'Manufactured', 'Distributed')","('F477', 'I486', 'T804')",Starts With 'SHELL' AND Ends With '3',
241,Not Blank,"In Range (1,10)",Equals 1,Not Equals 3,"('GROUPBY', 'REQUIRESRELEASE', 'REQUIRESAPPROVAL')","('GROUPBY', 'Distributed', 'Purchased')","('REDVOLUME', 'YELLOWVOLUME', 'GREENVOLUME')","('BUFFER', 'FEP', 'MANUAL')",,,true,,Starts With 'Refrig' OR Contains 'Gadus',05,Less Than 999999-12-31,"('FBR', 'FP3', 'PKG')",YPCK,E,"In Range (1,10)",Equals 1 OR Equals 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Blank,Greater Than 2000-01-01 AND Less Than 9999-12-31,,"('LB', 'TO', 'UG6')",Ends With 'Z',"In Range (1,10)","('R037', 'P083', 'I480')",Equals 1 OR Greater Than 5,Equals 1 OR Greater Than 5,Equals 1,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 6,Greater Than 2000-01-01,"('NA', 'Yes', 'No')","('N/A', 'Not Available', 'Partially Available')",Not Equals 3,,Contains 'a' OR Contains 'A',,Ends With 'Z',Ends With 'Z',"('GROUPBY', 'Purchased', 'Manufactured')","('F477', 'U022', 'C604')",Ends With 'Z',Contains 'a' AND Contains 'A'
242,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than Or Equal 3,Greater Than 3,"('GROUPBY', 'REQUIRESRELEASE', 'REQUIRESAPPROVAL')",,"('REDFLOW', 'GREENFLOW', 'GREENFEP')","('FLOW', 'RTO', 'MANUAL')",true,,false,Starts With 'Z',Starts With 'Omala' OR Starts With 'Corena',GROUPBY,Not Blank,"('ADB', 'BSE', 'DRM')","('GROUPBY', 'YBLU', 'YNOP')",E,Less Than 3,"In Range (1,10)",Greater Than 3,Less Than 3,Less Than 999999-12-31,Less Than 999999-12-31,L,Contains 'a' OR Contains 'A',Not Blank,P083,"In Range (1,10)",,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 6,Not Blank,,,"('Available', 'N/A', 'Not Available')","In Range (1,10)",Ends With 'Z',Starts With 'Z',Contains 'a' OR Contains 'A',Starts With 'Z',Starts With 'Z',,"('I411', 'I324', 'F477')",Contains 'Z',Starts With 'LOC' AND Contains 'ITEM'
243,Equals 1 OR Greater Than 5,Not Equals 3,Equals 1 OR Equals 5,Equals same value as in table,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'RELEASED')",Manufactured,GREENFEP,"('GROUPBY', 'FLOW', 'BUFFER')",GROUPBY,GROUPBY,GROUPBY,Contains 'Z',Starts With 'Omala' OR Starts With 'Corena',,Blank,"('FP1', 'FP2', 'PRE')",YRAW,F,Not Blank,Not Blank,Greater Than Or Equal 3,"In Range (1,10)",Greater Than 2000-01-01 AND Less Than 9999-12-31,Less Than 9999-12-31,"('KG', 'L', 'LB')",Contains 'Z',Equals same value as in table,"('R037', 'I480', 'I353')",,Equals 1 OR Equals 5,Less Than Or Equal 3,Equals 5,Less Than Or Equal 3,Blank,"('GROUPBY', 'NA', 'No')",GROUPBY,Not Blank,Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Ends With 'Z',Contains 'Z',Contains 'Z',"('GROUPBY', 'Purchased', 'Distributed')","('GROUPBY', 'I340', 'U022')",Starts With 'Z',Starts With 'LOC'
244,,Less Than 3,Less Than 3,,"('REQUIRESATTENTION', 'REQUIRESAPPROVAL', 'POSTPONED')","('GROUPBY', 'Manufactured', 'Purchased')","('REDFLOW', 'GREENFLOW', 'BLUEFLOW')","('GROUPBY', 'FEP', 'MANUAL')",,false,false,Ends With '9',Starts With 'Refrig' OR Contains 'Gadus',GROUPBY,,"('ADB', 'FPC', 'FPF')",YNOP,"('GROUPBY', 'E', 'F')",Equals 6,Not Equals 3,Greater Than 3,Blank,,,L,Contains 'a' OR Contains 'A',Equals +1,"('R037', 'P083', 'I353')",Less Than 3,Not Blank,Blank,Equals 1,Equals 1 OR Greater Than 5,Less Than 9999-12-31,"('GROUPBY', 'NA', 'Yes')","('GROUPBY', 'N/A', 'Partially Available')",Less Than Or Equal 3,Starts With 'Z',Starts With 'Z',Contains 'Z',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Distributed,"('I349', 'C604', 'G081')",Contains 'Z',Starts With 'LOC' AND Contains 'ITEM'
245,Equals 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals +1,Not Blank,"('GROUPBY', 'REQUIRESAPPROVAL', 'TODO')",,"('GROUPBY', 'RTO', 'GREENVOLUME')",FLOW,false,false,GROUPBY,Contains 'a' AND Contains 'A',Ends With 'Z',02,Blank,"('ADP', 'BST', 'DRM')","('GROUPBY', 'YBSE', 'YNOP')",E,Less Than 3,Equals 1,Equals 5,Not Blank,Greater Than 2000-01-01,Less Than 9999-12-31,"('EA', 'L', 'LB')",Contains 'a' AND Contains 'A',Greater Than Or Equal 1 AND Less Than Or Equal 10,R037,Equals 1,Greater Than 3,Less Than Or Equal 3,Equals 1 OR Equals 5,Equals 5,Blank,"('GROUPBY', 'NA', 'Yes')","('Available', 'N/A', 'Not Available')",Blank,Contains 'a' AND Contains 'A',,Contains 'a' OR Contains 'A',Ends With 'Z',Starts With 'Z',"('GROUPBY', 'Manufactured', 'Distributed')","('F477', 'I486', 'C604')",Contains 'a' AND Contains 'A',Contains 'Z'
246,Equals 1,,Not Blank,"In Range (1,10)","('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'POSTPONED')",Purchased,"('GREENFLOW', 'REDFEP', 'REDVOLUME')",BUFFER,true,GROUPBY,GROUPBY,,Contains 'a' OR Contains 'A',05,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('ADP', 'BTV', 'PRE')","('YBLU', 'YPAC', 'YRAW')",E,"In Range (1,10)",Equals ABCDEF,Less Than Or Equal 3,Greater Than 3,Greater Than 2000-01-01,Blank,"('GROUPBY', 'EA', 'UG6')",Ends With 'Z',Equals same value as in table,"('GROUPBY', 'T124', 'P083')",Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 5,Less Than Or Equal 3,Blank,"('GROUPBY', 'NA', 'No')","('Available', 'N/A', 'Not Available')","In Range (1,10)",Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Contains 'a' AND Contains 'A',Ends With 'Z',Purchased,"('I351', 'I324', 'C604')",Starts With 'Z',Starts With 'Z'
247,Blank,Less Than 9223372036854775807,Less Than 9223372036854775807,Equals 'ABCDEF',"('REQUIRESRELEASE', 'RELEASED', 'POSTPONED')","('GROUPBY', 'Manufactured', 'Purchased')","('GREENFLOW', 'REDVOLUME', 'YELLOWVOLUME')","('BUFFER', 'CYCLIC', 'MANUAL')",,true,true,Starts With '5' AND Ends With '1',Contains 'a' OR Contains 'A',GROUPBY,Equals '2022-02-28' OR Blank,"('D1P', 'FP2', 'LBL')","('GROUPBY', 'YINT', 'YPCK')",,Not Equals 3,Less Than Or Equal 3,Equals 1 OR Equals 5,Equals 5,Not Blank,Greater Than 2000-01-01,"('EA', 'KG', 'SKU')",Ends With 'Z',Less Than 999999999999999999999999999999999999999,I353,Equals 1 OR Equals 5,Greater Than 3,Equals 1 OR Greater Than 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,,Greater Than 2000-01-01,"('GROUPBY', 'NA', 'Yes')","('GROUPBY', 'Available', 'N/A')",Equals ABCDEF,,Starts With 'Z',,Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',"('GROUPBY', 'Purchased', 'Distributed')","('I337', 'R175', 'I009')",Ends With 'Z',Starts With 'LOC' AND Contains 'ITEM'
248,Equals 1 OR Greater Than 5,Greater Than 3,Equals -1,Equals 1 OR Equals 5,POSTPONED,Manufactured,"('YELLOWFLOW', 'GREENFEP', 'YELLOWVOLUME')","('FLOW', 'BUFFER', 'TWOBIN')",true,GROUPBY,true,Contains '24',Starts With 'Z',,Less Than 9999-12-31,"('BTV', 'IBC', 'PRE')","('YBLU', 'YBSE', 'YPAC')",,Greater Than Or Equal 3,Less Than Or Equal 3,Equals 5,Less Than 3,Greater Than 2000-01-01,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('GROUPBY', 'EA', 'SKU')",Starts With 'Z',Greater Than Or Equal 1 AND Less Than Or Equal 10,I480,Equals 6,,"In Range (1,10)",Less Than Or Equal 3,Equals 5,Blank,NA,Available,"In Range (1,10)",Ends With 'Z',Starts With 'Z',Contains 'a' OR Contains 'A',Ends With 'Z',Starts With 'Z',Distributed,I340,Starts With 'SHELL' AND Ends With '3',Contains 'a' AND Contains 'A'
249,Greater Than Or Equal 1 AND Less Than Or Equal 10,,Equals -1,Equals 'ABCDEF',POSTPONED,"('Manufactured', 'Distributed', 'Purchased')",RTO,"('RTO', 'FEP', 'MANUAL')",true,false,GROUPBY,,,05,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('D1P', 'FPC', 'PWD')","('YBLU', 'YINT', 'YPAC')",E,Equals ABCDEF,Less Than Or Equal 3,Equals 1 OR Greater Than 5,Blank,Not Blank,Less Than 999999-12-31,"('KAR', 'LB', 'SKU')",Starts With 'Z',Less Than Or Equal 3,,Equals 1,Blank,Equals 6,Equals 1,Not Equals 3,,"('GROUPBY', 'NA', 'Yes')",Partially Available,Equals 6,Contains 'Z',Contains 'Z',,Contains 'a' OR Contains 'A',,"('GROUPBY', 'Manufactured', 'Distributed')","('I324', 'I337', 'T804')",Starts With 'SHELL' AND Ends With '3',Contains 'a' AND Contains 'A'
250,Greater Than Or Equal 3,Equals same value as in table,Less Than 9223372036854775807,Equals 1 OR Greater Than 5,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'POSTPONED')","('Manufactured', 'Distributed', 'Purchased')","('YELLOWFLOW', 'GREENFLOW', 'BLUEFLOW')","('GROUPBY', 'RTO', 'MANUAL')",true,GROUPBY,,Contains 'a' AND Contains 'A',Contains 'a' AND Contains 'A',"('GROUPBY', '02', '05')",Greater Than 2000-01-01,"('BST', 'DRM', 'FPC')","('YINT', 'YPAC', 'YRAW')",GROUPBY,Equals 1 OR Equals 5,Greater Than 3,Equals ABCDEF,,Greater Than 2000-01-01 AND Less Than 9999-12-31,Not Blank,"('GROUPBY', 'EA', 'UG6')",Contains 'Z',Greater Than Or Equal 1 AND Less Than Or Equal 10,I480,"In Range (1,10)",Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than Or Equal 1 AND Less Than Or Equal 10,,Blank,Greater Than 2000-01-01 AND Less Than 9999-12-31,No,"('GROUPBY', 'Available', 'N/A')",Equals ABCDEF,Ends With 'Z',,Ends With 'Z',Ends With 'Z',Starts With 'Z',Manufactured,"('U022', 'C311', 'G081')",Starts With 'SHELL',Ends With 'Z'
251,Not Equals 3,Equals +1,Blank,Less Than 3,"('REQUIRESATTENTION', 'RELEASED', 'REJECTED')","('Manufactured', 'Distributed', 'Purchased')",,"('CYCLIC', 'FEP', 'MANUAL')",true,GROUPBY,,Contains '24',Starts With 'Z',05,Equals '2022-02-28' OR Blank,"('ADB', 'APZ', 'LBL')","('GROUPBY', 'YBLU', 'YNOP')",,Equals 6,Equals ABCDEF,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than 3,Greater Than 2000-01-01,,"('SKU', 'TO', 'UG6')",Contains 'Z',Equals 1 OR Greater Than 5,"('R037', 'I480', 'I353')",Equals ABCDEF,Greater Than Or Equal 3,Equals 5,Not Equals 3,Equals 6,Less Than 999999-12-31,"('GROUPBY', 'Yes', 'No')","('GROUPBY', 'N/A', 'Not Available')",Equals 6,Ends With 'Z',Ends With 'Z',Contains 'a' AND Contains 'A',Contains 'Z',Contains 'a' OR Contains 'A',"('GROUPBY', 'Purchased', 'Distributed')","('I324', 'I337', 'R175')",,Contains 'a' AND Contains 'A'
252,Equals 5,Equals -1,Equals same value as in table,Equals 1 OR Greater Than 5,"('GROUPBY', 'REQUIRESRELEASE', 'REJECTED')","('GROUPBY', 'Manufactured', 'Purchased')","('GREENFLOW', 'GREENFEP', 'REDFEP')","('CYCLIC', 'FEP', 'TWOBIN')",GROUPBY,true,GROUPBY,Ends With '9',Starts With 'Omala',GROUPBY,Not Blank,"('D1P', 'FP3', 'FPF')","('GROUPBY', 'YBSE', 'YNOP')",GROUPBY,Equals 1 OR Greater Than 5,Equals 6,"In Range (1,10)",Less Than Or Equal 3,,Blank,"('EA', 'TO', 'UG6')",Contains 'Z',"In Range (1,10)","('GROUPBY', 'T124', 'R037')",Equals 1,Not Equals 3,Equals 1 OR Greater Than 5,"In Range (1,10)",Equals 6,,Yes,"('GROUPBY', 'N/A', 'Not Available')",Greater Than 3,Contains 'a' AND Contains 'A',Ends With 'Z',Contains 'a' OR Contains 'A',,Ends With 'Z',,"('I340', 'I349', 'R175')",Starts With 'SHELL',
253,Greater Than Or Equal 3,Equals 1,Greater Than Or Equal 3,Less Than 999999999999999999999999999999999999999,"('REQUIRESRELEASE', 'POSTPONED', 'REJECTED')",Manufactured,"('GROUPBY', 'GREENFLOW', 'RTO')","('CYCLIC', 'LOW', 'MANUAL')",,true,GROUPBY,Contains '4' AND Contains '2',Contains 'a' AND Contains 'A',,Less Than 9999-12-31,"('APD', 'D1P', 'PRL')","('YBLU', 'YINT', 'YNOP')","('GROUPBY', 'E', 'F')",,"In Range (1,10)",Blank,Not Equals 3,Greater Than 2000-01-01,Not Blank,"('KAR', 'TO', 'UG6')",Contains 'a' OR Contains 'A',Equals 1 OR Greater Than 5,"('T124', 'R037', 'P083')",,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1,Not Equals 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than 999999-12-31,No,"('GROUPBY', 'Not Available', 'Partially Available')",Greater Than Or Equal 1 AND Less Than Or Equal 10,Contains 'a' OR Contains 'A',Contains 'Z',,Starts With 'Z',Contains 'Z',"('GROUPBY', 'Purchased', 'Manufactured')","('I340', 'I335', 'U022')",Starts With 'SHELL' AND Ends With '3',Starts With 'LOC'
